Sector,State,Nationality,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
VET,NSW,Malta,56,64,63,94,118,151,113,35,19,15,51,62,44,36,47,23,34,57,17
VET,NSW,Mauritius,611,826,838,916,1170,1864,4659,7239,5757,3939,2821,1636,1381,1345,1280,1330,1240,1185,473
VET,NSW,Mexico,249,327,351,478,540,700,897,1166,1216,1496,1366,1548,2619,3304,3859,4474,5357,7125,3367
VET,NSW,Mongolia,287,436,370,275,203,160,181,304,704,903,759,855,1007,1445,3196,5692,8643,13054,7374
VET,NSW,Myanmar,778,498,228,285,375,567,706,1238,1440,1094,531,417,364,419,323,362,469,558,394
VET,NSW,Nepal,3825,2914,2421,3233,7347,30806,81978,123548,100710,50243,25665,18711,24366,28920,27049,44849,103784,174226,77665
VET,NSW,Netherlands,543,533,690,776,678,567,623,670,642,618,673,744,936,1193,1224,1621,1620,1755,732
VET,NSW,Nigeria,63,76,35,89,127,129,125,157,204,207,240,478,1018,1707,2355,3007,2764,2204,764
VET,NSW,North Macedonia,81,58,74,91,116,263,417,518,625,651,667,663,750,937,1095,1253,1186,1023,408
VET,NSW,Norway,315,264,391,530,604,667,412,545,554,470,556,534,551,546,673,724,747,636,287
VET,NSW,Pakistan,947,628,642,818,1801,4246,7650,11103,13263,15965,17363,15619,16070,15691,13665,10821,9374,12763,7979
VET,NSW,Papua New Guinea,214,180,183,224,291,228,177,307,416,400,351,241,254,293,265,206,116,209,79
VET,NSW,Peru,356,322,177,160,448,1179,2626,4367,5187,5272,4758,3865,3628,3087,2529,2729,3163,3580,1634
VET,NSW,Philippines,2743,2368,2050,3011,4927,7154,9984,14567,17198,19414,21905,25840,32144,30232,27590,25594,27733,48308,29690
VET,NSW,Poland,6074,8826,9625,8365,8384,9413,8851,8434,8048,7596,6712,6090,6986,7113,6962,7506,7679,6557,2315
VET,NSW,Portugal,163,270,286,326,463,520,494,559,816,865,1063,1424,1803,1815,1992,1996,2103,1901,758
VET,NSW,Russian Federation,2355,1896,1434,829,778,871,785,891,1014,1194,1173,1068,966,818,687,665,678,701,370
VET,NSW,Singapore,1010,1234,1361,905,825,895,944,836,1006,983,1103,1078,891,966,1032,1034,858,858,320
VET,NSW,Slovakia,10937,13645,12221,10162,8319,7830,7197,6706,6646,6923,6845,6314,6397,6474,6044,5103,4794,4302,1625
VET,NSW,South Africa,460,475,755,830,711,830,878,871,959,1027,895,778,833,739,786,730,839,1027,429
VET,NSW,Spain,548,741,542,651,905,797,999,1166,1713,2181,3191,4915,6598,9229,10246,11709,12397,11263,4183
VET,NSW,Sri Lanka,1217,921,884,909,1154,1462,1498,2046,2012,1369,1013,732,506,619,686,814,823,1059,586
VET,NSW,Sweden,1758,1764,1971,1733,2219,2116,1639,1717,1879,1705,2073,2195,2211,2274,2518,2457,2569,2577,839
VET,NSW,Switzerland,537,542,657,804,925,750,711,562,788,923,872,978,1057,1121,1123,971,908,847,367
VET,NSW,Taiwan,4293,4494,3817,2904,2414,3087,2866,3273,3204,3194,4096,4884,7687,10928,14935,19490,23867,22404,9319
VET,NSW,Thailand,21369,27717,28274,32197,38078,48802,63043,80756,86423,77339,64778,57402,66602,84549,101894,114806,107950,95561,37595
VET,NSW,Turkey,854,784,721,870,1183,1905,2364,2911,4027,3632,3234,3000,3043,2564,2329,2812,3852,4897,2370
VET,NSW,Ukraine,236,161,141,90,59,63,95,85,64,86,144,170,162,182,180,166,196,307,136
VET,NSW,United Kingdom,4865,5258,4769,4464,5162,5822,5752,6014,7390,8285,8014,8286,10068,12266,14144,16293,17601,20688,9139
VET,NSW,United States of America,3551,4527,5044,4983,5837,5847,5765,4548,5760,6778,7149,7768,7904,9448,11509,12616,12267,11786,4217
VET,NSW,Uzbekistan,150,194,181,165,249,247,205,257,320,213,177,181,206,175,176,217,143,192,91
VET,NSW,Venezuela,534,379,209,153,205,166,165,228,395,744,825,832,891,1600,3042,3736,2890,1935,507
VET,NSW,Vietnam,6423,3867,2468,2146,2394,4058,7066,12990,17894,16510,12727,10816,13758,17295,19667,22142,18745,18496,9793
VET,NSW,Zambia,80,144,200,177,285,258,280,274,166,91,108,148,186,240,180,166,118,94,38
VET,NSW,Zimbabwe,248,383,268,277,605,836,1066,1341,1377,857,404,369,563,846,1045,1030,797,575,173
VET,VIC,Albania,47,34,32,39,46,49,80,133,155,122,96,72,136,202,329,316,280,213,95
VET,VIC,Argentina,97,91,45,47,103,116,106,41,114,134,127,128,193,277,463,781,976,1228,740
VET,VIC,Austria,4,18,11,3,18,43,72,83,105,103,96,78,52,92,117,140,138,134,35
VET,VIC,Bangladesh,1683,2120,2474,3060,4357,5539,5744,4944,3904,3129,2719,2300,2097,1680,1330,1288,1193,1617,1000
VET,VIC,Belgium,203,169,133,174,195,222,203,246,161,151,77,96,39,123,216,354,433,535,231
VET,VIC,Brazil,712,781,912,1007,1238,1592,2038,2496,2817,3042,2695,2903,3309,4394,7082,11504,17635,21254,8651
VET,VIC,Cambodia,161,132,113,109,114,132,168,256,464,576,526,727,1036,1252,1630,1987,2356,2506,889
VET,VIC,Canada,262,357,436,371,512,622,535,593,683,522,574,669,487,733,1076,1273,1073,1296,623
VET,VIC,Chile,51,25,35,76,77,177,313,472,594,652,835,634,969,1527,2272,3558,4236,5315,2574
VET,VIC,China,8395,9563,12144,19241,29150,44076,64178,88404,87334,61643,50170,40247,37347,40342,43054,58013,80153,85269,32066
VET,VIC,Colombia,1354,1473,1235,1302,1699,3382,5434,6371,6587,4803,3922,4192,4877,6364,11895,21143,32503,40746,20452
VET,VIC,Czech Republic,581,1046,743,439,514,374,388,289,248,324,387,583,516,500,544,695,642,611,197
VET,VIC,Denmark,86,79,46,63,50,160,86,76,12,70,115,56,46,57,55,82,94,163,53
VET,VIC,Egypt,145,131,91,264,658,859,1085,1214,1124,600,398,176,133,79,131,89,101,121,59
VET,VIC,Fiji,744,513,337,203,246,245,175,206,203,136,133,94,153,246,270,483,1081,2098,1232
VET,VIC,France,308,338,384,521,615,636,713,760,811,964,1095,1210,1706,3082,4845,5214,5817,6239,2789
VET,VIC,Germany,216,343,366,462,561,439,395,421,585,629,661,846,992,1231,1476,1895,2082,2376,999
VET,VIC,Greece,42,56,69,47,49,63,41,49,61,145,1457,4141,5731,6324,6117,6098,5106,3689,1204
VET,VIC,Hong Kong,13216,12381,9747,8060,7091,5992,4345,4115,3729,3752,3325,3981,5693,8160,10693,12862,11028,9013,3256
VET,VIC,Hungary,229,183,134,200,264,249,340,303,303,343,310,398,257,291,348,289,208,113,56
VET,VIC,India,10350,6663,7313,17978,51684,142097,244451,357568,339398,245783,185215,140902,130068,126381,118084,123428,121286,174344,107812
VET,VIC,Indonesia,9906,8434,6962,6438,6148,6343,6436,7358,8201,7448,6920,5945,5937,6482,7285,8651,10681,12600,5829
VET,VIC,Ireland,42,108,140,200,194,179,243,368,513,690,717,1000,1160,1227,1363,1285,1540,2187,1175
VET,VIC,Israel,55,126,181,145,323,743,1078,1606,1544,1284,1030,672,666,666,703,842,616,534,252
VET,VIC,Italy,339,259,252,301,368,437,734,1158,1238,1401,1999,3129,5502,10357,15549,15955,15218,14170,5682
VET,VIC,Japan,6261,7115,7187,7365,6848,5498,4707,4358,4280,3256,3128,3497,4369,5891,6995,8671,9859,10220,3778
VET,VIC,Kenya,382,454,402,435,709,760,1137,1577,1465,946,753,979,1205,1126,1328,1787,2277,2294,866
VET,VIC,"Korea, Republic of (South)",6566,5496,4744,5764,8699,11673,14427,18777,18441,13615,11361,12484,15456,18756,23056,27404,28140,25360,9827
VET,VIC,Lebanon,276,253,169,211,434,735,1528,2338,2553,2315,1817,1133,644,528,460,446,246,275,118
VET,VIC,Macau,94,75,83,53,87,133,99,205,206,162,223,210,165,196,168,225,223,221,81
VET,VIC,Malaysia,4169,4761,4666,4995,5655,6366,6831,7642,7495,7676,9737,13476,18273,26576,38699,62778,71523,66131,24552
VET,VIC,Mauritius,2334,2815,3797,4973,6471,8676,13152,18390,14777,8244,5051,3715,3380,3400,3547,3948,4568,5108,1931
VET,VIC,Mexico,152,162,204,250,152,330,382,351,334,331,399,521,601,985,1514,2528,3335,4133,1912
VET,VIC,Myanmar,187,180,135,261,341,386,474,433,505,567,527,354,356,306,347,761,1467,3165,2720
VET,VIC,Nepal,695,537,362,524,1180,4625,16419,36308,39499,31716,22092,17477,14288,11623,9231,14100,27539,47331,24443
VET,VIC,Netherlands,130,97,80,74,116,212,207,231,206,123,197,143,150,158,425,576,788,848,355
VET,VIC,Nigeria,28,34,11,11,50,125,150,220,393,429,332,503,724,935,884,900,930,928,299
VET,VIC,Pakistan,1856,2205,2598,4126,6884,12188,17140,20746,21411,24698,29324,27549,25681,21672,18417,15113,13704,18666,10435
VET,VIC,Peru,41,56,88,64,133,411,524,913,1035,748,725,646,616,568,547,532,652,994,603
VET,VIC,Philippines,442,305,206,296,534,922,1457,2507,3420,3732,4822,6981,10904,10829,11100,12355,16382,37111,23603
VET,VIC,Poland,251,527,833,1252,1375,1335,1043,1014,1076,799,765,919,1087,1214,1357,1641,1407,1174,435
VET,VIC,Portugal,202,222,166,145,224,152,127,202,230,302,354,345,361,351,349,426,507,597,159
VET,VIC,Russian Federation,162,152,129,144,130,172,187,132,111,167,276,351,359,273,305,339,381,406,135
VET,VIC,Singapore,1263,1136,1072,1207,1118,972,958,1288,1272,1123,1349,1410,1436,1250,990,1424,1448,1489,666
VET,VIC,Slovakia,239,390,389,336,293,357,258,228,261,256,314,375,470,622,656,527,466,519,157
VET,VIC,South Africa,286,313,230,294,337,263,377,463,625,531,409,264,263,401,412,468,510,582,265
VET,VIC,Spain,36,58,62,82,56,77,106,158,226,203,670,2010,2650,3287,3240,3828,4217,4192,1656
VET,VIC,Sri Lanka,5503,3908,4235,6585,10224,16529,23241,30039,27287,19287,14647,10662,8751,9174,9707,14063,20405,29146,15590
VET,VIC,Sweden,395,557,561,576,514,423,414,363,359,331,292,479,470,448,686,755,688,568,214
VET,VIC,Switzerland,171,147,136,102,154,148,125,143,103,119,104,98,117,121,95,161,140,124,72
VET,VIC,Taiwan,2376,2609,2300,2335,2400,2553,2508,2784,2459,1892,2206,4085,6925,10574,16757,24047,26461,23642,8599
VET,VIC,Thailand,6498,7316,6925,7149,7335,7665,8794,10838,12313,13658,13489,13228,14665,18355,24014,30116,30470,26628,10261
VET,VIC,Turkey,421,342,384,411,487,662,807,1458,1919,1622,1456,1292,1505,1847,1961,2390,3047,3191,1585
VET,VIC,Ukraine,46,30,18,29,39,54,76,58,104,89,33,17,33,68,121,118,113,132,75
VET,VIC,United Kingdom,1122,1309,1196,1617,1927,2118,2859,3138,2957,2695,2831,3167,4323,5837,7356,8187,9349,11162,5128
VET,VIC,United States of America,1201,1294,1170,1070,1306,1337,1309,1714,1912,1667,1703,1668,1905,2054,2192,2905,3276,3260,1284
VET,VIC,Venezuela,160,125,35,23,30,90,260,323,573,562,492,534,657,1125,2553,3404,2781,1927,463
VET,VIC,Vietnam,3409,2455,2175,2695,3320,5159,10041,22207,30355,28124,22514,20679,28234,32343,31341,30197,26727,22290,8873
VET,VIC,Zambia,86,67,116,210,215,164,139,172,116,75,95,143,197,144,133,94,66,65,20
VET,VIC,Zimbabwe,402,403,348,654,1177,1981,2252,2320,1623,1085,613,633,659,663,885,912,950,871,314
VET,QLD,Austria,32,49,52,58,65,91,71,150,180,123,130,119,118,138,128,162,173,215,89
VET,QLD,Bangladesh,30,22,47,65,109,180,321,390,487,303,288,227,245,116,143,120,236,315,129
VET,QLD,Belgium,79,132,132,99,236,283,317,266,219,168,188,212,325,283,329,367,343,352,161
VET,QLD,Brazil,1448,1312,1826,2946,4451,6673,9088,12381,12750,11914,11807,12941,14193,18480,27711,40942,54660,59097,25450
VET,QLD,Brunei Darussalam,23,88,139,65,118,144,53,58,34,56,30,35,37,47,33,30,66,67,29
VET,QLD,Canada,803,999,1020,920,1179,931,810,1071,1234,1418,1554,1998,1903,1907,1853,2269,2277,2487,1010
VET,QLD,China,2486,2908,3335,4930,7467,11440,15966,19704,18341,15870,13195,11927,13790,16625,14661,12693,18049,19168,7575
VET,QLD,Colombia,1155,768,561,471,681,2314,5635,5640,5557,5400,4374,4541,6352,7608,10062,14693,19914,24450,12063
VET,QLD,Czech Republic,335,475,304,353,232,324,502,440,461,481,703,934,1228,1275,1673,1759,1836,1706,572
VET,QLD,Denmark,120,94,51,59,31,84,114,121,105,105,137,58,106,181,131,231,210,173,82
VET,QLD,Fiji,281,188,151,159,186,193,214,326,330,257,178,192,187,189,256,371,518,785,469
VET,QLD,Finland,24,33,87,53,60,56,79,105,163,159,177,199,259,195,308,323,604,661,254
VET,QLD,France,433,466,401,412,429,683,1105,1443,1274,1306,1441,1585,1918,2484,2649,3122,3383,3356,1427
VET,QLD,Germany,373,395,521,570,636,781,839,1141,1201,1050,1333,1591,1539,1398,1520,2243,2661,2485,1074
VET,QLD,Hong Kong,2211,4108,3397,2986,2898,2760,2895,2948,2843,4148,3660,3880,4289,5773,6806,6824,5850,4357,1657
VET,QLD,Hungary,109,188,251,285,296,285,586,816,1153,1166,820,923,1037,1056,1127,1221,1217,1046,351
VET,QLD,India,231,191,191,342,1152,8150,47344,117085,135061,97901,72739,46503,44967,50632,44585,35363,35963,51416,27690
VET,QLD,Indonesia,965,939,703,606,561,604,786,1042,1156,1244,1007,822,1176,1257,1333,1478,1766,2297,1078
VET,QLD,Ireland,59,71,103,191,239,260,349,445,759,1068,1066,1008,1091,1036,758,904,772,805,334
VET,QLD,Italy,134,183,230,257,303,305,475,676,746,879,1269,1890,3597,5023,6105,6798,6972,7007,2881
VET,QLD,Japan,9085,10711,11398,10690,10121,9408,8568,8319,8516,8455,8745,8641,8958,9678,11471,12277,12768,12428,4851
VET,QLD,Kenya,71,91,85,104,99,79,130,268,434,367,251,328,453,502,457,406,481,520,159
VET,QLD,"Korea, Republic of (South)",5094,3720,3246,3801,5422,7903,11760,16667,20491,17617,16401,16123,19791,26182,31904,35390,36862,33078,12205
VET,QLD,Macau,49,73,74,68,78,101,129,118,183,353,443,210,188,298,386,252,307,211,49
VET,QLD,Malaysia,489,593,788,1097,1234,1366,1700,2172,2301,2673,2902,3467,4093,5035,6397,7113,7739,7545,2875
VET,QLD,Mexico,57,41,72,121,121,366,599,504,470,523,514,838,971,1109,1576,2183,2533,2761,1501
VET,QLD,Myanmar,50,30,64,122,103,121,116,128,168,149,152,112,114,103,226,150,270,473,371
VET,QLD,Netherlands,127,271,236,204,173,172,217,334,377,356,263,289,333,412,423,422,587,635,305
VET,QLD,Norway,415,235,94,192,132,163,134,173,225,294,344,321,307,335,300,312,259,342,147
VET,QLD,Pakistan,7,29,45,69,130,369,650,801,935,1324,1142,1288,1196,1460,1310,915,1821,3943,1069
VET,QLD,Papua New Guinea,430,575,483,502,499,647,691,813,966,2365,3624,2820,2551,3325,2919,2466,1613,1844,873
VET,QLD,Philippines,310,231,208,454,640,1110,1980,3292,4004,4080,4341,5600,7088,8368,8623,9305,11790,27821,17139
VET,QLD,Poland,170,214,294,305,347,433,477,509,975,843,780,749,956,1220,1275,1394,1165,976,352
VET,QLD,Portugal,63,94,118,102,187,215,325,323,249,349,471,533,668,923,831,839,1078,921,381
VET,QLD,Russian Federation,389,363,98,37,107,144,208,242,215,321,346,271,277,432,309,290,299,415,162
VET,QLD,Singapore,133,189,214,268,363,454,565,527,646,619,617,541,550,492,550,605,483,529,185
VET,QLD,Slovakia,93,238,284,239,223,195,164,318,369,478,503,407,453,441,518,554,649,758,311
VET,QLD,Solomon Islands,86,118,199,198,144,158,181,175,337,385,476,484,345,265,328,423,314,240,52
VET,QLD,South Africa,263,239,272,335,469,458,558,820,860,837,543,291,395,544,544,816,912,953,572
VET,QLD,Spain,91,91,152,160,161,172,293,347,449,739,1328,2628,4078,4779,5291,7280,8538,9133,3698
VET,QLD,Sri Lanka,59,55,87,230,445,878,1944,2515,2051,1408,1102,766,586,465,426,801,1782,2121,962
VET,QLD,Sweden,985,786,826,970,1068,900,1034,1209,1603,1374,1225,1648,1802,1548,1305,1368,1597,1652,639
VET,QLD,Switzerland,260,248,167,238,372,342,232,251,338,372,498,478,553,668,616,740,773,726,289
VET,QLD,Taiwan,3728,3977,3448,3576,4544,5022,5605,5835,6049,5667,5257,6388,8725,15083,21392,24339,26612,25755,9797
VET,QLD,Thailand,1301,1634,1738,2076,2393,2524,3504,5660,7591,8219,6719,5999,6361,8201,10491,11789,10649,8723,3749
VET,QLD,United Kingdom,871,1211,1325,1753,2520,4010,5161,5490,5200,4442,4190,4315,4374,4942,5270,5886,6346,7148,3248
VET,QLD,United States of America,2016,2083,1656,1760,1906,1856,1557,2087,2214,2611,2681,3224,3296,3224,3229,4330,4701,5469,2134
VET,QLD,Vietnam,149,88,61,87,235,352,761,1827,3083,3074,2555,2359,2810,2862,2785,2614,2493,2728,1263
VET,QLD,Zimbabwe,221,182,117,196,375,644,991,1099,1035,450,355,456,484,563,629,633,433,426,149
VET,SA,Belgium,27,26,53,42,30,79,102,117,94,92,85,89,56,68,87,88,64,95,42
VET,SA,Brazil,76,90,90,80,42,68,198,218,315,460,414,282,218,485,637,765,1475,3191,1997
VET,SA,Canada,96,67,129,76,90,73,170,323,333,336,499,313,368,235,290,189,151,240,90
VET,SA,China,1860,2290,2116,2535,3280,4840,6222,8729,9986,8130,7899,7786,6338,6132,7817,10392,9552,9772,4294
VET,SA,Colombia,71,108,96,72,44,108,171,312,461,359,246,151,141,213,284,469,747,1340,1064
VET,SA,France,98,76,62,71,82,92,70,195,243,166,228,186,158,146,211,218,278,169,74
VET,SA,Germany,124,70,103,82,118,126,152,103,71,152,153,145,140,180,237,323,230,161,46
VET,SA,Hong Kong,1809,2045,2099,1743,1481,1255,1212,1638,2323,2514,2308,2693,2827,2926,3316,3549,3253,3970,1753
VET,SA,India,549,390,243,224,404,1974,12085,38496,50108,40022,27168,22339,19139,15649,13200,13137,16524,26113,16913
VET,SA,Indonesia,433,255,367,389,288,242,201,340,468,469,412,412,372,452,528,535,594,787,412
VET,SA,Italy,95,82,58,36,54,64,24,50,138,203,219,374,575,789,1041,1146,999,1132,544
VET,SA,Japan,1380,1581,1569,1327,1341,1179,1294,1459,1323,740,426,374,339,472,512,502,607,725,379
VET,SA,Kenya,103,109,57,36,65,269,608,1331,1939,1262,1295,1323,1727,1678,2150,3594,3697,2763,791
VET,SA,"Korea, Republic of (South)",1660,1720,1385,1411,1585,1591,1735,2601,3162,2641,2177,2396,2369,2536,3209,3453,3299,3224,1226
VET,SA,Malaysia,388,457,449,498,941,1434,1936,1963,2076,1557,1204,1161,1165,1121,1358,1728,1772,1541,549
VET,SA,Nepal,61,47,35,11,15,45,708,3112,2615,1600,880,783,816,817,2214,3617,5548,6804,3481
VET,SA,Pakistan,70,63,35,34,36,53,246,435,426,543,595,583,510,353,315,372,503,961,543
VET,SA,Philippines,214,147,72,47,130,235,286,501,742,895,1230,1962,2661,2498,2135,1994,2399,5409,3615
VET,SA,Poland,59,30,92,276,304,258,299,215,290,202,137,180,310,353,307,212,202,271,105
VET,SA,Singapore,239,211,119,218,316,254,239,259,387,220,121,152,202,196,170,171,125,156,74
VET,SA,South Africa,59,41,77,93,59,52,74,141,293,234,223,84,61,153,167,103,117,159,83
VET,SA,Sri Lanka,140,160,100,60,129,309,398,292,224,199,277,223,225,259,259,654,1088,1894,1066
VET,SA,Taiwan,477,613,615,734,574,395,363,368,519,462,425,572,693,1017,1667,1898,2025,2153,917
VET,SA,Thailand,377,408,415,378,311,324,369,407,564,547,405,333,309,387,498,460,410,399,201
VET,SA,United Kingdom,270,346,409,510,573,747,997,1045,1306,1260,1590,1409,842,1086,920,707,648,779,339
VET,SA,United States of America,217,92,92,110,163,181,218,145,111,162,325,303,280,333,338,188,112,147,65
VET,SA,Vietnam,209,109,145,163,311,610,971,1545,2072,2217,2127,1663,1519,1655,2023,2724,2456,2819,1317
VET,WA,Bangladesh,171,96,166,144,143,226,603,800,822,751,920,776,632,683,463,314,277,222,138
VET,WA,Belgium,23,75,147,192,134,138,203,202,215,120,52,52,195,245,238,257,143,139,76
VET,WA,Brazil,509,512,549,1155,2243,2861,4455,5195,4725,4010,4569,4717,4987,6141,7784,9620,9861,8057,3289
VET,WA,Brunei Darussalam,340,339,171,101,72,70,185,236,195,134,147,103,70,94,88,72,52,39,8
VET,WA,Canada,376,416,458,834,858,954,994,945,907,985,701,625,722,1218,1364,1353,1182,1077,427
VET,WA,China,1990,1829,1695,2391,2974,3820,4449,5731,6502,5568,5787,5425,5386,4390,3937,5112,6259,5406,1775
VET,WA,Colombia,112,91,78,75,97,268,632,1167,1296,1341,1347,1526,2474,2823,3052,3848,4177,3939,1716
VET,WA,Czech Republic,614,987,778,587,563,504,546,346,256,199,333,612,719,898,1106,1028,774,405,169
VET,WA,Denmark,93,77,42,87,159,103,84,168,168,130,79,94,93,128,135,111,108,71,21
VET,WA,France,158,312,486,500,977,2337,2567,2024,1797,1228,1041,1372,1753,1738,1931,2352,2149,1759,690
VET,WA,Germany,215,308,309,354,519,545,793,922,965,844,899,813,995,1374,1364,1496,1199,1083,461
VET,WA,Hong Kong,2327,2305,2511,2595,1875,1732,1718,1942,1966,1878,1841,2152,2884,3909,4815,6069,5321,3395,1091
VET,WA,India,1126,774,467,456,643,2504,12297,37789,49709,36496,26036,17414,14602,22157,32730,36411,33101,28650,15422
VET,WA,Indonesia,3441,2012,1584,1388,1490,1828,2434,3554,3967,3489,3822,3453,3438,3496,3148,2916,2502,2854,1201
VET,WA,Ireland,40,37,46,77,125,158,165,404,740,958,1149,1323,1447,1398,1141,839,804,820,360
VET,WA,Italy,141,123,186,200,177,259,294,399,739,645,1033,1747,2682,3691,4788,5323,4410,3332,1335
VET,WA,Japan,3209,3831,3633,3992,3774,3486,2841,2290,2135,1693,1812,1614,2005,2106,2342,2941,2509,1964,785
VET,WA,Kenya,863,557,590,630,835,1369,1723,2199,2407,1688,1283,1763,2220,2746,3507,5501,5459,4926,1871
VET,WA,"Korea, Republic of (South)",2397,1544,1063,1171,1356,1583,2427,3886,5438,5104,4865,5574,7202,8746,10850,11459,9237,5655,1933
VET,WA,Malawi,15,146,118,54,43,80,152,208,257,148,91,110,88,121,136,128,124,86,40
VET,WA,Malaysia,2843,2555,2367,2564,2906,3604,5253,7053,6969,6053,5800,6118,6806,7376,8409,9743,10022,7997,2678
VET,WA,Mauritius,313,449,408,486,867,2062,5733,9614,7009,3909,2831,2417,2965,3632,4054,4915,5235,4809,1983
VET,WA,Myanmar,434,235,83,156,213,393,822,1120,1410,1040,666,540,493,469,371,290,195,198,67
VET,WA,Netherlands,147,129,156,152,165,326,401,313,422,382,382,270,235,298,384,530,516,551,186
VET,WA,Norway,33,77,72,63,52,108,47,94,72,81,60,101,108,153,162,140,180,156,39
VET,WA,Pakistan,35,60,66,107,235,742,2477,4609,5611,6796,8293,8120,7855,7309,5972,4729,3356,3292,2461
VET,WA,Philippines,184,118,134,159,210,352,753,1204,1344,1293,2016,2734,3772,4092,3490,2925,3090,5795,4054
VET,WA,Poland,141,262,399,467,477,556,636,605,661,591,771,734,892,1103,1143,1091,648,403,204
VET,WA,Singapore,936,906,1000,1037,1046,1156,1280,1492,1300,1224,1082,1228,1234,1283,1263,1041,814,751,314
VET,WA,Slovakia,724,647,645,485,343,458,511,409,330,309,265,390,372,471,375,334,317,222,111
VET,WA,South Africa,212,170,132,239,296,632,1008,1315,1362,1261,1057,1149,1226,1149,1099,1039,795,852,358
VET,WA,Spain,48,52,42,12,59,77,45,55,74,154,324,525,767,818,859,792,680,677,290
VET,WA,Sri Lanka,608,387,254,345,508,660,930,1429,1271,962,804,876,922,826,710,641,772,1019,595
VET,WA,Sweden,66,113,140,187,234,168,72,97,125,166,226,166,258,288,264,238,206,190,80
VET,WA,Switzerland,235,186,234,310,430,266,367,396,448,305,318,208,262,443,384,320,308,297,73
VET,WA,Taiwan,729,831,606,506,382,260,377,593,923,1057,1282,2183,4127,5898,8600,10980,9758,6197,1925
VET,WA,Thailand,1754,1609,1373,1266,1361,1588,1997,2535,3424,3435,3265,2746,2351,2363,2710,2746,2579,1989,735
VET,WA,Turkey,74,51,24,48,64,69,75,221,354,495,398,211,239,270,218,210,126,103,85
VET,WA,United Kingdom,973,1084,1328,1957,2280,3059,3743,4683,5750,4594,4161,4225,4570,4167,4194,3855,3319,3547,1395
VET,WA,United States of America,811,860,1004,1369,1566,1777,1791,2113,1996,1688,1841,1527,1746,2352,2583,2536,2296,2467,1013
VET,WA,Vietnam,265,222,98,121,177,327,842,2439,3201,3714,3692,4052,4805,5110,5637,5870,5158,3961,1423
VET,WA,Zambia,405,866,1411,1271,1261,1427,2095,2848,2629,1981,1366,1337,1594,1716,1867,1771,1290,845,307
VET,WA,Zimbabwe,548,618,625,724,789,1140,1871,2395,2330,1549,1008,946,1106,1553,1866,2066,1812,1266,416
VET,TAS,China,44,88,228,399,547,740,926,1032,871,716,465,475,398,285,1121,5618,8349,14639,7032
VET,TAS,"Korea, Republic of (South)",314,240,266,180,133,152,112,170,264,107,89,110,198,339,623,1465,2026,1576,553
VET,TAS,Malaysia,57,112,113,52,100,63,127,246,243,165,109,108,157,175,250,467,887,1268,645
VET,TAS,Taiwan,98,95,59,67,63,36,34,58,46,27,51,66,23,38,180,489,1123,2108,998
VET,TAS,Thailand,272,372,303,199,215,201,130,201,197,205,138,58,75,63,114,260,322,294,133
VET,NT,China,21,23,86,69,51,30,48,65,41,86,86,81,46,90,78,172,252,496,285
VET,NT,Philippines,200,124,67,62,100,201,245,322,439,366,272,276,531,510,507,732,865,1698,1037
VET,NT,Thailand,40,58,58,41,28,43,69,153,270,325,260,148,161,167,131,98,83,139,89
VET,ACT,Bangladesh,356,258,246,297,248,219,176,136,165,163,69,81,79,70,74,157,575,636,289
VET,ACT,China,806,891,654,847,791,1096,1341,1815,1966,1425,876,639,385,275,312,558,2707,4205,1436
VET,ACT,Hong Kong,793,1130,1078,809,523,440,257,198,269,137,134,184,146,167,140,180,237,320,81
VET,ACT,India,277,155,89,160,158,456,1075,1933,2478,2037,1169,619,598,456,390,719,3169,5636,3482
VET,ACT,Indonesia,226,174,100,71,38,113,163,142,111,161,175,149,153,190,75,109,138,164,78
VET,ACT,Japan,310,268,189,192,178,173,94,80,69,74,64,64,42,30,49,68,82,92,35
VET,ACT,"Korea, Republic of (South)",498,428,236,357,298,337,383,497,719,746,749,1556,1554,1125,1092,1251,1243,953,334
VET,ACT,Malaysia,158,132,119,97,115,130,185,154,101,92,104,142,223,383,198,135,279,502,254
VET,ACT,Pakistan,266,170,200,286,408,447,465,810,812,697,634,500,226,140,62,300,1222,1169,633
VET,ACT,Taiwan,123,89,52,34,29,34,40,29,18,6,11,20,47,86,265,231,303,443,207
VET,ACT,Thailand,332,385,220,176,238,309,255,263,308,206,198,250,337,288,321,319,264,355,131
VET,ACT,United Kingdom,40,33,109,145,149,100,106,111,82,101,59,97,57,41,111,94,86,103,59
VET,ACT,United States of America,115,32,73,138,39,42,30,114,121,35,52,57,60,28,61,96,41,51,15
VET,ACT,Vietnam,110,83,95,78,109,174,191,510,739,643,462,392,588,692,645,458,570,729,363
VET,ACT,Zimbabwe,6,18,24,23,29,63,99,178,212,129,63,82,183,186,203,95,86,41,11
Schools,NSW,Bangladesh,191,191,214,174,106,190,184,141,113,60,36,30,66,102,149,142,151,234,114
Schools,NSW,Brazil,421,343,356,291,456,286,247,239,294,251,240,261,365,516,255,328,312,333,135
Schools,NSW,Cambodia,143,107,111,140,149,155,197,276,359,411,410,376,443,480,630,995,1160,1026,517
Schools,NSW,Canada,134,155,235,268,287,242,138,169,99,112,71,38,81,84,72,69,102,105,56
