Sector,State,Nationality,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Higher Education,VIC,Lebanon,267,312,345,287,223,248,321,313,372,419,498,633,776,831,884,957,947,814,346
Higher Education,VIC,Macau,286,401,472,490,471,422,467,588,919,1239,1139,1302,1184,1147,1369,1625,1879,2140,992
Higher Education,VIC,Malawi,44,60,77,83,61,83,100,104,115,84,68,66,76,58,95,107,97,132,86
Higher Education,VIC,Malaysia,61425,69167,71461,69738,66704,66697,69059,74957,76588,74225,67074,60216,58362,60731,64519,68738,66489,61169,25543
Higher Education,VIC,Maldives,437,488,513,441,330,324,334,396,419,339,280,264,367,485,496,471,528,509,247
Higher Education,VIC,Mauritius,4419,5459,5447,5163,5098,5570,5891,7223,7447,7042,6189,5330,5563,5867,5933,6344,6667,6348,2589
Higher Education,VIC,Mexico,654,968,1068,1229,1258,1275,1326,1528,1692,1736,1744,1599,1748,2031,2579,2726,2962,2600,964
Higher Education,VIC,Mongolia,34,56,122,217,218,181,229,218,183,178,104,164,258,365,549,730,729,823,396
Higher Education,VIC,Myanmar,491,531,513,496,480,607,533,719,960,1084,1141,1236,1598,1927,2464,3202,3787,4163,2126
Higher Education,VIC,Nepal,1698,1540,1165,914,1472,3193,4105,4527,4588,5663,7028,9419,16432,20727,25170,33892,46084,58867,27378
Higher Education,VIC,Netherlands,454,446,527,611,511,426,363,449,562,559,512,608,577,594,657,697,837,895,390
Higher Education,VIC,Nigeria,200,201,169,178,197,202,183,372,400,471,644,873,1380,1814,2224,3077,3641,3690,1550
Higher Education,VIC,Norway,5177,5861,5192,3813,3028,2816,2478,2578,2772,2695,2576,1827,1937,1715,1578,1392,1355,1232,463
Higher Education,VIC,Oman,721,1138,1576,1755,2119,2266,2088,1942,1529,1493,1533,1520,1594,1473,1924,2659,3418,3931,1639
Higher Education,VIC,Pakistan,5683,5417,5847,6245,7454,9416,10138,10449,11224,12210,14429,20423,27276,34650,39630,41515,44502,45498,18683
